FIRST_OCCU,GEO_LON,GEO_LAT
1-Jul-15,-105.0110341,39.6805155
3-Jul-15,-105.0279426,39.7116807
19-Jul-15,-105.0436321,39.7177081
27-Jul-15,-105.0252296,39.7512071
29-Jul-15,-104.9554822,39.7617818
31-Jul-15,-104.8467447,39.7954591
31-Jul-15,-105.0242783,39.6922292
3-Aug-15,-105.0239343,39.7764608
12-Aug-15,-104.9858144,39.7514533
13-Aug-15,-104.9358965,39.6941911
15-Aug-15,-105.0230157,39.6714612
17-Aug-15,-104.9337654,39.6689458
27-Aug-15,-104.9269802,39.7111772
28-Aug-15,-104.9343984,39.7632252
1-Sep-15,-104.9249304,39.7561487
5-Sep-15,-104.7545373,39.7768861
13-Sep-15,-104.8913056,39.7404331
16-Sep-15,-105.0514669,39.656548
16-Sep-15,-104.8356052,39.7778629
22-Sep-15,-104.9729817,39.7662072
22-Sep-15,-104.9729817,39.7662072
10-Oct-15,-104.8573566,39.6592928
15-Oct-15,-104.9050611,39.6954777
31-Oct-15,-104.9871573,39.6864919
3-Nov-15,-104.8897052,39.7404523
6-Nov-15,-105.0459496,39.6551322
6-Nov-15,-104.9899683,39.7147918
11-Nov-15,-104.9935737,39.7397729
19-Nov-15,-104.9322604,39.7641236
21-Nov-15,-105.0359541,39.6332731
23-Nov-15,-104.8469269,39.7827799
29-Nov-15,-104.9046234,39.7675998
2-Dec-15,-105.035536,39.7544931
2-Dec-15,-105.0243687,39.6851686
1-Jan-16,-104.9892415,39.7325973
23-Jan-16,-104.8453511,39.7819722
30-Jan-16,-104.9713893,39.7811423
4-Feb-16,-105.0114285,39.7050163
20-Feb-16,-104.9944042,39.7646677
9-Mar-16,-104.9340412,39.7634047
12-Mar-16,-105.049551,39.6988735
31-Mar-16,-104.9826439,39.7343144
3-Apr-16,-105.0287038,39.7105389
22-Apr-16,-105.0388612,39.7204732
23-Apr-16,-104.7651915,39.7855321
23-Apr-16,-105.0462526,39.7412616
2-May-16,-104.9777095,39.7547311
3-Jun-16,-104.9232728,39.7678409
28-Jun-16,-105.0014047,39.751169
30-Jun-16,-104.9808218,39.7402911
3-Jul-16,-105.0060833,39.6958795
9-Jul-16,-104.9899295,39.718182
14-Jul-16,-104.9024623,39.7189782
22-Jul-16,-104.8425768,39.7966521
24-Jul-16,-104.835231,39.7858056
30-Jul-16,-105.0334866,39.6840384
30-Jul-16,-104.9955244,39.7533429
31-Jul-16,-105.0602927,39.652057
3-Aug-16,-104.9113953,39.7118305
21-Aug-16,-104.8683674,39.6541747
28-Aug-16,-105.0328144,39.7140281
28-Aug-16,-105.034884,39.7112279
31-Aug-16,-104.9732322,39.7181963
11-Sep-16,-104.9756463,39.7566683
12-Sep-16,-104.8306726,39.7940182
25-Sep-16,-104.7986699,39.7974667
1-Oct-16,-104.9803997,39.7401437
9-Oct-16,-104.9643817,39.7576196
10-Oct-16,-104.9838029,39.7594524
10-Oct-16,-104.9404448,39.7771286
12-Oct-16,-104.8697303,39.7076998
12-Oct-16,-104.9361028,39.6928305
15-Oct-16,-104.8907448,39.7403094
17-Oct-16,-105.0417072,39.6853308
22-Oct-16,-104.9775385,39.7480841
23-Oct-16,-104.751371,39.7808632
29-Oct-16,-104.9574669,39.7769694
29-Oct-16,-104.8591131,39.7855591
8-Nov-16,-104.9537733,39.7820585
